Airline,Source,Destination,Route,Total_Stops,Price,Journey_Day,Journey_Month,Duration_in_Mins
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,8073,6,May,390
Vistara,Mumbai,Hyderabad,BOM → DEL → HYD,1 stop,12395,6,March,1505
Air India,Kolkata,Banglore,CCU → BOM → BLR,1 stop,8366,6,June,745
Air India,Delhi,Cochin,DEL → MAA → COK,1 stop,5117,3,April,1640
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,12524,3,June,615
IndiGo,Delhi,Cochin,DEL → BOM → COK,1 stop,7191,15,May,630
Vistara,Chennai,Kolkata,MAA → CCU,non-stop,3687,24,May,135
IndiGo,Delhi,Cochin,DEL → BOM → COK,1 stop,5894,24,June,625
Vistara,Banglore,Delhi,BLR → DEL,non-stop,5403,24,April,170
Air India,Mumbai,Hyderabad,BOM → HYD,non-stop,3625,6,May,90
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,2 stops,10861,21,May,800
IndiGo,Chennai,Kolkata,MAA → CCU,non-stop,6297,12,March,135
Jet Airways,Mumbai,Hyderabad,BOM → HYD,non-stop,5678,1,June,85
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,9134,9,March,1590
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,10791,24,June,440
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,12819,24,June,810
IndiGo,Delhi,Cochin,DEL → BLR → COK,1 stop,6893,21,March,300
Vistara,Banglore,New Delhi,BLR → DEL,non-stop,7240,9,March,165
GoAir,Banglore,Delhi,BLR → DEL,non-stop,3898,3,April,170
IndiGo,Mumbai,Hyderabad,BOM → HYD,non-stop,4049,3,April,90
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,10262,15,June,1145
SpiceJet,Chennai,Kolkata,MAA → CCU,non-stop,3332,21,March,135
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,10844,9,June,890
Jet Airways,Banglore,New Delhi,BLR → DEL,non-stop,7229,24,March,160
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,13941,6,May,1330
IndiGo,Delhi,Cochin,DEL → BOM → COK,1 stop,5894,27,June,575
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,10197,18,May,600
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,13712,6,March,1280
IndiGo,Delhi,Cochin,DEL → MAA → COK,1 stop,5636,24,June,325
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,13014,6,June,1125
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,7064,1,April,740
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1 stop,10703,24,May,1080
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1 stop,9646,27,May,555
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,17057,6,March,665
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,13817,12,March,1050
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,2 stops,13748,6,March,800
Air India,Kolkata,Banglore,CCU → BLR,non-stop,4880,21,April,155
IndiGo,Chennai,Kolkata,MAA → CCU,non-stop,3540,21,June,145
SpiceJet,Banglore,Delhi,BLR → DEL,non-stop,3257,15,May,160
Jet Airways,Banglore,Delhi,BLR → DEL,non-stop,6478,3,June,180
Jet Airways,Mumbai,Hyderabad,BOM → HYD,non-stop,8040,18,June,85
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,2 stops,14300,12,June,995
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,14781,15,May,740
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,14939,9,June,735
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,10262,24,June,450
Air India,Kolkata,Banglore,CCU → MAA → BLR,1 stop,6528,12,May,1440
Air India,Banglore,Delhi,BLR → DEL,non-stop,6121,1,May,165
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,13029,18,May,535
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,11421,27,March,430
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,7574,27,March,870
Air India,Delhi,Cochin,DEL → JDH → BOM → COK,2 stops,11596,9,May,1820
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,15129,24,May,1195
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,13555,18,March,900
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,5780,12,April,175
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1 stop,9397,12,May,765
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,17024,6,March,610
GoAir,Delhi,Cochin,DEL → BOM → COK,1 stop,5281,27,June,355
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1 stop,10348,18,May,925
Air India,Delhi,Cochin,DEL → MAA → COK,1 stop,12677,6,March,965
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,15147,3,March,610
Vistara,Banglore,Delhi,BLR → DEL,non-stop,4668,12,June,160
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,15554,9,May,715
SpiceJet,Banglore,Delhi,BLR → DEL,non-stop,3971,9,April,160
Air India,Mumbai,Hyderabad,BOM → HYD,non-stop,3100,3,May,85
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,9663,6,May,845
Air India,Delhi,Cochin,DEL → BOM → COK,1 stop,27430,1,March,1215
IndiGo,Chennai,Kolkata,MAA → CCU,non-stop,3540,12,May,145
Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,2 stops,10676,21,May,1390
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,13044,12,June,1090
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,14388,6,May,960
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,3943,24,June,170
IndiGo,Chennai,Kolkata,MAA → CCU,non-stop,3597,3,June,140
Air India,Banglore,New Delhi,BLR → MAA → DEL,1 stop,5932,21,March,480
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,10262,15,June,1015
Vistara,Delhi,Cochin,DEL → COK,non-stop,6216,12,May,190
IndiGo,Kolkata,Banglore,CCU → BLR,non-stop,4804,15,June,165
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,14067,21,May,840
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,15129,18,May,1430
Jet Airways,Delhi,Cochin,DEL → NAG → BOM → COK,2 stops,13376,6,June,1300
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,2 stops,10441,27,June,1275
Jet Airways,Banglore,Delhi,BLR → DEL,non-stop,4030,24,May,165
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,17024,3,March,650
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,13017,9,April,480
GoAir,Kolkata,Banglore,CCU → BOM → BLR,1 stop,6686,6,June,495
IndiGo,Delhi,Cochin,DEL → MAA → COK,1 stop,5636,15,June,325
IndiGo,Delhi,Cochin,DEL → HYD → COK,1 stop,6442,9,June,515
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1 stop,9486,21,May,710
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,10844,21,May,1655
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,2 stops,15318,3,June,505
Air India,Delhi,Cochin,DEL → MAA → COK,1 stop,5117,3,April,1255
IndiGo,Delhi,Cochin,DEL → BLR → COK,1 stop,6147,24,June,290
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,7005,9,June,490
SpiceJet,Kolkata,Banglore,CCU → BLR,non-stop,3873,3,April,140
Jet Airways,Delhi,Cochin,DEL → BDQ → BOM → COK,2 stops,9270,21,March,1465
GoAir,Banglore,Delhi,BLR → DEL,non-stop,3898,27,June,170
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,14781,12,May,740
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,8586,24,May,735
Air India,Kolkata,Banglore,CCU → JAI → BOM → BLR,2 stops,10697,9,May,1415
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,2 stops,14300,27,June,995
IndiGo,Banglore,New Delhi,BLR → DEL,non-stop,8855,3,March,170
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,10844,12,May,1545
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,17024,6,March,1570
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1 stop,9314,1,May,1730
IndiGo,Banglore,New Delhi,BLR → DEL,non-stop,4777,24,March,165
Air India,Kolkata,Banglore,CCU → BBI → BLR,1 stop,7662,9,June,1515
IndiGo,Delhi,Cochin,DEL → HYD → COK,1 stop,6442,9,May,560
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1 stop,5264,12,June,270
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,12898,27,May,925
Air India,Mumbai,Hyderabad,BOM → HYD,non-stop,6092,3,March,90
SpiceJet,Banglore,Delhi,BLR → DEL,non-stop,3311,21,May,160
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,6540,27,March,550
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,3419,27,May,165
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,5177,3,April,1355
Air India,Delhi,Cochin,DEL → COK,non-stop,8246,18,April,185
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1 stop,14676,9,June,690
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,13587,27,June,570
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,9663,6,May,730
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,13044,12,June,1055
IndiGo,Delhi,Cochin,DEL → BOM → COK,1 stop,5073,3,April,305
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1 stop,9345,21,May,1550
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,9663,6,May,1200
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,14277,21,May,780
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,10262,1,June,1105
Jet Airways,Mumbai,Hyderabad,BOM → HYD,non-stop,5678,27,March,90
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,13727,15,May,570
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,9663,6,May,960
IndiGo,Chennai,Kolkata,MAA → CCU,non-stop,3858,12,May,140
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1 stop,4812,24,June,270
IndiGo,Delhi,Cochin,DEL → LKO → COK,1 stop,5775,27,June,345
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1 stop,10539,6,June,1450
IndiGo,Kolkata,Banglore,CCU → BLR,non-stop,4804,3,June,155
Air Asia,Banglore,Delhi,BLR → DEL,non-stop,3383,12,June,165
IndiGo,Banglore,New Delhi,BLR → HYD → DEL,1 stop,8738,3,March,295
Air India,Delhi,Cochin,DEL → TRV → COK,1 stop,7165,27,March,1535
IndiGo,Delhi,Cochin,DEL → HYD → COK,1 stop,6412,24,June,380
Jet Airways,Banglore,Delhi,BLR → DEL,non-stop,8016,27,June,185
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,11087,12,March,1120
SpiceJet,Chennai,Kolkata,MAA → CCU,non-stop,3543,27,June,135
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,12471,12,June,730
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,10262,24,June,1165
Air India,Banglore,New Delhi,BLR → DEL,non-stop,4441,18,March,170
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,12537,27,March,505
GoAir,Kolkata,Banglore,CCU → BOM → BLR,1 stop,10091,24,March,555
Air India,Banglore,Delhi,BLR → DEL,non-stop,6961,3,June,170
IndiGo,Delhi,Cochin,DEL → COK,non-stop,5013,24,April,195
Air India,Delhi,Cochin,DEL → COK,non-stop,6934,18,May,170
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,10877,3,June,740
Jet Airways,Banglore,Delhi,BLR → DEL,non-stop,7229,18,April,175
IndiGo,Delhi,Cochin,DEL → BOM → COK,1 stop,7048,27,March,575
Vistara,Banglore,Delhi,BLR → DEL,non-stop,4878,27,June,155
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,10844,21,May,570
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,15129,18,May,1760
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,3943,12,May,175
SpiceJet,Delhi,Cochin,DEL → MAA → COK,1 stop,5583,6,June,315
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1 stop,9646,6,June,545
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,7677,3,June,645
IndiGo,Delhi,Cochin,DEL → BLR → COK,1 stop,6842,1,June,295
Jet Airways,Mumbai,Hyderabad,BOM → HYD,non-stop,4995,24,June,90
Vistara,Kolkata,Banglore,CCU → DEL → BLR,1 stop,9555,9,June,700
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,4077,1,June,165
Jet Airways,Banglore,Delhi,BLR → DEL,non-stop,7229,12,May,175
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,12192,9,June,600
Air India,Banglore,Delhi,BLR → DEL,non-stop,5911,12,April,165
Air India,Delhi,Cochin,DEL → BOM → COK,1 stop,8372,12,June,615
Jet Airways,Mumbai,Hyderabad,BOM → HYD,non-stop,4995,18,March,85
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,14323,9,May,555
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,13014,9,June,1375
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,2 stops,13591,6,June,1730
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,2 stops,18799,3,March,2245
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,3943,27,April,170
SpiceJet,Mumbai,Hyderabad,BOM → HYD,non-stop,1965,21,May,90
Jet Airways,Mumbai,Hyderabad,BOM → HYD,non-stop,4995,27,May,90
Air India,Kolkata,Banglore,CCU → BOM → BLR,1 stop,14641,24,March,1540
Air India,Kolkata,Banglore,CCU → BLR,non-stop,4460,12,April,155
Air India,Delhi,Cochin,DEL → BOM → COK,1 stop,10191,18,May,375
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,13843,9,March,1050
IndiGo,Delhi,Cochin,DEL → LKO → COK,1 stop,6349,1,May,345
Air Asia,Kolkata,Banglore,CCU → BLR,non-stop,4409,1,May,155
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,17024,6,March,1530
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,13727,18,May,835
IndiGo,Banglore,New Delhi,BLR → DEL,non-stop,8855,15,March,175
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,12524,24,June,615
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,13555,18,March,520
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,10844,6,June,330
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,13587,9,June,720
SpiceJet,Chennai,Kolkata,MAA → CCU,non-stop,3543,12,June,135
Vistara,Chennai,Kolkata,MAA → CCU,non-stop,4842,18,March,135
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,3943,24,April,170
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,10577,9,June,550
IndiGo,Delhi,Cochin,DEL → BOM → COK,1 stop,6979,15,May,625
Vistara,Chennai,Kolkata,MAA → CCU,non-stop,11982,27,June,140
SpiceJet,Delhi,Cochin,DEL → PNQ → COK,1 stop,5264,6,June,270
Vistara,Delhi,Cochin,DEL → COK,non-stop,8001,3,March,190
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,2 stops,10651,1,June,1410
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,10844,24,May,1640
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1 stop,6601,27,March,755
Air India,Delhi,Cochin,DEL → BOM → COK,1 stop,6587,21,March,1455
SpiceJet,Mumbai,Hyderabad,BOM → HYD,non-stop,3173,21,March,80
Air India,Banglore,Delhi,BLR → DEL,non-stop,5228,9,May,165
Jet Airways,Banglore,Delhi,BLR → DEL,non-stop,5769,21,June,180
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,14714,6,June,660
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,13014,3,June,810
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,3359,3,June,170
GoAir,Banglore,New Delhi,BLR → DEL,non-stop,6722,3,March,175
IndiGo,Kolkata,Banglore,CCU → BLR,non-stop,4462,18,March,165
IndiGo,Delhi,Cochin,DEL → HYD → COK,1 stop,6171,9,March,675
Air India,Kolkata,Banglore,CCU → IXR → DEL → BLR,2 stops,12303,21,May,875
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,7695,21,March,835
IndiGo,Delhi,Cochin,DEL → BOM → COK,1 stop,5684,24,June,845
Air India,Kolkata,Banglore,CCU → BOM → BLR,1 stop,8366,12,June,905
Air India,Chennai,Kolkata,MAA → CCU,non-stop,19630,1,March,135
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,13502,6,March,900
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,14781,1,May,775
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,1 stop,6513,12,June,540
Air India,Delhi,Cochin,DEL → BOM → COK,1 stop,9929,1,June,735
Multiple carriers,Delhi,Cochin,DEL → IXU → BOM → COK,2 stops,18275,6,June,460
Air India,Delhi,Cochin,DEL → MAA → COK,1 stop,4487,9,April,1640
IndiGo,Mumbai,Hyderabad,BOM → HYD,non-stop,2754,15,March,85
Air India,Mumbai,Hyderabad,BOM → HYD,non-stop,2575,27,March,80
SpiceJet,Kolkata,Banglore,CCU → IXB → BLR,1 stop,8224,12,June,330
Air India,Delhi,Cochin,DEL → BLR → COK,1 stop,8991,9,March,705
IndiGo,Delhi,Cochin,DEL → COK,non-stop,5000,24,June,195
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,8529,12,June,1495
Air India,Delhi,Cochin,DEL → MAA → COK,1 stop,14042,3,March,1640
Jet Airways,Banglore,Delhi,BLR → DEL,non-stop,4030,24,May,175
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,10844,6,June,1025
IndiGo,Kolkata,Banglore,CCU → BLR,non-stop,4804,6,May,160
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,7308,27,May,480
IndiGo,Banglore,Delhi,BLR → DEL,non-stop,4823,12,May,180
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,10262,24,June,1655
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,12898,27,May,450
Air India,Banglore,New Delhi,BLR → BOM → JDH → DEL,2 stops,12778,12,March,1375
IndiGo,Delhi,Cochin,DEL → BOM → COK,1 stop,14871,3,March,515
Air India,Delhi,Cochin,DEL → UDR → BOM → COK,2 stops,8708,21,March,1795
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,10844,6,June,1335
SpiceJet,Mumbai,Hyderabad,BOM → HYD,non-stop,4129,6,March,80
IndiGo,Kolkata,Banglore,CCU → BLR,non-stop,4804,18,May,160
Jet Airways,Banglore,Delhi,BLR → DEL,non-stop,7229,6,May,180
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,7832,21,March,730
SpiceJet,Chennai,Kolkata,MAA → CCU,non-stop,3859,18,March,155
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,9001,6,June,705
Vistara,Banglore,Delhi,BLR → DEL,non-stop,4878,9,May,155
IndiGo,Mumbai,Hyderabad,BOM → HYD,non-stop,2754,3,May,90
Vistara,Banglore,Delhi,BLR → DEL,non-stop,4668,27,June,160
Air Asia,Kolkata,Banglore,CCU → BLR,non-stop,5216,12,May,155
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,10368,6,June,1375
IndiGo,Delhi,Cochin,DEL → HYD → MAA → COK,2 stops,8146,9,March,880
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,12242,27,March,925
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,1 stop,9134,15,March,435
Air India,Delhi,Cochin,DEL → HYD → MAA → COK,2 stops,10939,6,June,1210
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,2 stops,11753,6,June,1245
SpiceJet,Kolkata,Banglore,CCU → BLR,non-stop,4174,24,April,150
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,10844,21,May,1430
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,14714,3,June,1620
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,9899,12,June,330
IndiGo,Delhi,Cochin,DEL → BOM → COK,1 stop,14871,3,March,710
IndiGo,Chennai,Kolkata,MAA → CCU,non-stop,7295,6,March,135
Air India,Delhi,Cochin,DEL → JAI → BOM → COK,2 stops,13465,6,June,1470
SpiceJet,Chennai,Kolkata,MAA → CCU,non-stop,3543,21,May,140
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,7198,27,June,390
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,10262,1,June,1225
IndiGo,Kolkata,Banglore,CCU → BLR,non-stop,4148,15,March,155
Jet Airways,Banglore,Delhi,BLR → DEL,non-stop,8016,27,June,175
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,10262,9,June,335
SpiceJet,Kolkata,Banglore,CCU → BLR,non-stop,3841,15,June,150
Jet Airways,Banglore,New Delhi,BLR → MAA → DEL,1 stop,11507,12,March,885
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1 stop,14781,1,May,740
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,16079,27,May,1530
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1 stop,12898,27,May,335
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,1 stop,15353,6,March,705
IndiGo,Banglore,New Delhi,BLR → DEL,non-stop,7303,24,March,175
SpiceJet,Kolkata,Banglore,CCU → MAA → BLR,1 stop,6197,24,March,340
Air India,Kolkata,Banglore,CCU → BBI → BLR,1 stop,8996,9,June,245
IndiGo,Delhi,Cochin,DEL → HYD → COK,1 stop,6528,21,March,480
GoAir,Banglore,Delhi,BLR → DEL,non-stop,4239,9,April,165
